Didier Deschamps, 549, <a href='http://en.wikipedia.org/wiki/Didier_Deschamps'>Didier Deschamps</a>
Jean-Philippe Sabo, 548, <a href='http://en.wikipedia.org/wiki/Jean-Philippe_Sabo'>Jean-Philippe Sabo</a>
Jean-Michel Larqué, 548, <a href='http://en.wikipedia.org/wiki/Jean-Michel_Larqu%C3%A9'>Jean-Michel Larqué</a>
Kevin Gameiro, 547, <a href='http://en.wikipedia.org/wiki/K%C3%A9vin_Gameiro'>Kévin Gameiro</a>
Jean-Paul Bertrand-Demanes, 547, <a href='http://en.wikipedia.org/wiki/Jean-Paul_Bertrand-Demanes'>Jean-Paul Bertrand-Demanes</a>
Laurent Blanc, 546, <a href='http://en.wikipedia.org/wiki/Laurent_Blanc'>Laurent Blanc</a>
Kingsley Coman, 542, <a href='http://en.wikipedia.org/wiki/Kingsley_Coman'>Kingsley Coman</a>
Mathieu Valbuena, 541, <a href='http://en.wikipedia.org/wiki/Mathieu_Valbuena'>Mathieu Valbuena</a>
Nicolas Anelka, 539, <a href='http://en.wikipedia.org/wiki/Nicolas_Anelka'>Nicolas Anelka</a>
Lassana Diarra, 538, <a href='http://en.wikipedia.org/wiki/Lassana_Diarra'>Lassana Diarra</a>
Georges-Kévin N'Koudou, 537, <a href='http://en.wikipedia.org/wiki/Georges-K%C3%A9vin_N'Koudou'>Georges-Kévin N'Koudou</a>
Djibril Cissé, 537, <a href='http://en.wikipedia.org/wiki/Djibril_Ciss%C3%A9'>Djibril Cissé</a>
Brice Dja Djédjé, 535, <a href='http://en.wikipedia.org/wiki/Brice_Dja_Dj%C3%A9dj%C3%A9'>Brice Dja Djédjé</a>
Blaise Matuidi, 534, <a href='http://en.wikipedia.org/wiki/Blaise_Matuidi'>Blaise Matuidi</a>
Jérémy Ménez, 533, <a href='http://en.wikipedia.org/wiki/J%C3%A9r%C3%A9my_M%C3%A9nez'>Jérémy Ménez</a>
El Fardou Ben Nabouhane, 533, <a href='http://en.wikipedia.org/wiki/El_Fardou_Ben_Nabouhane'>El Fardou Ben Nabouhane</a>
André Ayew, 532, <a href='http://en.wikipedia.org/wiki/Andr%C3%A9_Ayew'>André Ayew</a>
José-Karl Pierre-Fanfan, 531, <a href='http://en.wikipedia.org/wiki/Jos%C3%A9-Karl_Pierre-Fanfan'>José-Karl Pierre-Fanfan</a>
Serge Aurier, 530, <a href='http://en.wikipedia.org/wiki/Serge_Aurier'>Serge Aurier</a>
David Trezeguet, 530, <a href='http://en.wikipedia.org/wiki/David_Trezeguet'>David Trezeguet</a>
Claude Le Roy, 530, <a href='http://en.wikipedia.org/wiki/Claude_Le_Roy'>Claude Le Roy</a>
Yohan Cabaye, 525, <a href='http://en.wikipedia.org/wiki/Yohan_Cabaye'>Yohan Cabaye</a>
Nabil El Zhar, 523, <a href='http://en.wikipedia.org/wiki/Nabil_El_Zhar'>Nabil El Zhar</a>
Hugo Lloris, 523, <a href='http://en.wikipedia.org/wiki/Hugo_Lloris'>Hugo Lloris</a>
Robert Pirès, 520, <a href='http://en.wikipedia.org/wiki/Robert_Pir%C3%A8s'>Robert Pirès</a>
Patrick Vieira, 519, <a href='http://en.wikipedia.org/wiki/Patrick_Vieira'>Patrick Vieira</a>
Marie-Laure Delie, 519, <a href='http://en.wikipedia.org/wiki/Marie-Laure_Delie'>Marie-Laure Delie</a>
Louisa Nécib, 519, <a href='http://en.wikipedia.org/wiki/Louisa_Necib'>Louisa Necib</a>
Jérémy Mathieu, 519, <a href='http://en.wikipedia.org/wiki/J%C3%A9r%C3%A9my_Mathieu'>Jérémy Mathieu</a>
Alexandre Lacazette, 519, <a href='http://en.wikipedia.org/wiki/Alexandre_Lacazette'>Alexandre Lacazette</a>
Loïc Rémy, 518, <a href='http://en.wikipedia.org/wiki/Lo%C3%AFc_R%C3%A9my'>Loïc Rémy</a>
Jean-Kévin Augustin, 518, <a href='http://en.wikipedia.org/wiki/Jean-K%C3%A9vin_Augustin'>Jean-Kévin Augustin</a>
Bacary Sagna, 518, <a href='http://en.wikipedia.org/wiki/Bacary_Sagna'>Bacary Sagna</a>
Anthony Le Tallec, 518, <a href='http://en.wikipedia.org/wiki/Anthony_Le_Tallec'>Anthony Le Tallec</a>
Claude Makelele, 517, <a href='http://en.wikipedia.org/wiki/Claude_Mak%C3%A9l%C3%A9l%C3%A9'>Claude Makélélé</a>
Yacine Brahimi, 516, <a href='http://en.wikipedia.org/wiki/Yacine_Brahimi'>Yacine Brahimi</a>
Laurent Koscielny, 515, <a href='http://en.wikipedia.org/wiki/Laurent_Koscielny'>Laurent Koscielny</a>
Jean-Marie De Zerbi, 514, <a href='http://en.wikipedia.org/wiki/Jean-Marie_De_Zerbi'>Jean-Marie De Zerbi</a>
Abou Diaby, 514, <a href='http://en.wikipedia.org/wiki/Abou_Diaby'>Abou Diaby</a>
Nicolas de Préville, 513, <a href='http://en.wikipedia.org/wiki/Nicolas_de_Pr%C3%A9ville'>Nicolas de Préville</a>
Sofiane Feghouli, 512, <a href='http://en.wikipedia.org/wiki/Sofiane_Feghouli'>Sofiane Feghouli</a>
Jean-Claude Darcheville, 512, <a href='http://en.wikipedia.org/wiki/Jean-Claude_Darcheville'>Jean-Claude Darcheville</a>
François Omam-Biyik, 511, <a href='http://en.wikipedia.org/wiki/Fran%C3%A7ois_Omam-Biyik'>François Omam-Biyik</a>
Demba Ba, 510, <a href='http://en.wikipedia.org/wiki/Demba_Ba'>Demba Ba</a>
Sébastien Le Toux, 509, <a href='http://en.wikipedia.org/wiki/S%C3%A9bastien_Le_Toux'>Sébastien Le Toux</a>
Éric Abidal, 508, <a href='http://en.wikipedia.org/wiki/%C3%89ric_Abidal'>Éric Abidal</a>
Jean-Marc Furlan, 507, <a href='http://en.wikipedia.org/wiki/Jean-Marc_Furlan'>Jean-Marc Furlan</a>
Jean-Eudes Maurice, 506, <a href='http://en.wikipedia.org/wiki/Jean-Eudes_Maurice'>Jean-Eudes Maurice</a>
Gaël Clichy, 506, <a href='http://en.wikipedia.org/wiki/Ga%C3%ABl_Clichy'>Gaël Clichy</a>
Adil Rami, 506, <a href='http://en.wikipedia.org/wiki/Adil_Rami'>Adil Rami</a>
Abdelhamid El Kaoutari, 505, <a href='http://en.wikipedia.org/wiki/Abdelhamid_El_Kaoutari'>Abdelhamid El Kaoutari</a>
Manuel Dos Santos, 504, <a href='http://en.wikipedia.org/wiki/Garrincha'>Garrincha</a>
Kévin Monnet-Paquet, 504, <a href='http://en.wikipedia.org/wiki/K%C3%A9vin_Monnet-Paquet'>Kévin Monnet-Paquet</a>
Cédric Bakambu, 504, <a href='http://en.wikipedia.org/wiki/C%C3%A9dric_Bakambu'>Cédric Bakambu</a>
Jean-Pierre Adams, 503, <a href='http://en.wikipedia.org/wiki/Jean-Pierre_Adams'>Jean-Pierre Adams</a>
Morgan Schneiderlin, 502, <a href='http://en.wikipedia.org/wiki/Morgan_Schneiderlin'>Morgan Schneiderlin</a>
Rémi Gaillard, 498, <a href='http://en.wikipedia.org/wiki/R%C3%A9mi_Gaillard'>Rémi Gaillard</a>
Marouane Chamakh, 498, <a href='http://en.wikipedia.org/wiki/Marouane_Chamakh'>Marouane Chamakh</a>
Juninho Pernambucano, 498, <a href='http://en.wikipedia.org/wiki/Juninho_Pernambucano'>Juninho Pernambucano</a>
Damien Le Tallec, 498, <a href='http://en.wikipedia.org/wiki/Damien_Le_Tallec'>Damien Le Tallec</a>
Allan Saint-Maximin, 498, <a href='http://en.wikipedia.org/wiki/Allan_Saint-Maximin'>Allan Saint-Maximin</a>
Syam Ben Youssef, 497, <a href='http://en.wikipedia.org/wiki/Syam_Ben_Youssef'>Syam Ben Youssef</a>
Eliaquim Mangala, 496, <a href='http://en.wikipedia.org/wiki/Eliaquim_Mangala'>Eliaquim Mangala</a>
Marc-Antoine Fortuné, 495, <a href='http://en.wikipedia.org/wiki/Marc-Antoine_Fortun%C3%A9'>Marc-Antoine Fortuné</a>
Jean-Pierre François, 495, <a href='http://en.wikipedia.org/wiki/Jean-Pierre_Fran%C3%A7ois'>Jean-Pierre François</a>
Nicolas Isimat-Mirin, 494, <a href='http://en.wikipedia.org/wiki/Nicolas_Isimat-Mirin'>Nicolas Isimat-Mirin</a>
Steve Mandanda, 492, <a href='http://en.wikipedia.org/wiki/Steve_Mandanda'>Steve Mandanda</a>
Kurt Zouma, 492, <a href='http://en.wikipedia.org/wiki/Kurt_Zouma'>Kurt Zouma</a>
Fabien Barthez, 492, <a href='http://en.wikipedia.org/wiki/Fabien_Barthez'>Fabien Barthez</a>
Moussa Sissoko, 491, <a href='http://en.wikipedia.org/wiki/Moussa_Sissoko'>Moussa Sissoko</a>
Jean-François Hernandez, 491, <a href='http://en.wikipedia.org/wiki/Jean-Fran%C3%A7ois_Hernandez'>Jean-François Hernandez</a>
Lilian Thuram, 490, <a href='http://en.wikipedia.org/wiki/Lilian_Thuram'>Lilian Thuram</a>
